Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;Maakond;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Käive;Töötajate arv
10047362;TREV-2 GRUPP, AS;Äriühing;jah;Harju maakond;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1823294,84;888915,04;7569881,72;346,00
10508414;ANTISTA, AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1122196,38;574639,59;21935499,68;226,00
10201478;TELEGRUPP, AS;Äriühing;jah;Harju maakond;EHITUS;1601228,31;234549,20;6288781,28;94,00
11511985;STORA ENSO EESTI AS;Äriühing;jah;Harju maakond;TÖÖTLEV TÖÖSTUS;1452462,11;1525267,14;50354959,42;612,00
10279055;BALTI AUTOOSAD AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1086833,20;281665,76;9047446,55;117,00
10284932;SILBERAUTO EESTI AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1039058,29;689693,73;23034746,18;287,00
10089165;HORIZON TSELLULOOSI JA PABERI AS;Äriühing;jah;Harju maakond;TÖÖTLEV TÖÖSTUS;1047353,89;873942,22;12121493,18;366,00
10344947;SCHENKER, AS;Äriühing;jah;Harju maakond;VEONDUS JA LAONDUS;1265598,22;397422,86;10259868,89;168,00
10048462;MOBEC, AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1260161,57;232585,72;11905524,99;99,00
10380914;KARL STORZ VIDEO ENDOSCOPY ESTONIA, OÜ;Äriühing;jah;Harju maakond;TÖÖTLEV TÖÖSTUS;1078062,33;416181,95;10003309,93;188,00
70002526;VÄLISMINISTEERIUM;Valitsus- ja riigiasutus;jah;Harju maakond;" AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1443610,96;1545185,80;64292,13;698,00
10144415;BALTIKA, AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1115139,12;465291,40;9443762,07;211,00
11199045;KLICK EESTI AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1439824,89;272654,21;12443460,04;133,00
74000725;KAITSELIIT;Valitsus- ja riigiasutus;jah;Harju maakond;" AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1716661,02;1811937,26;86222,44;890,00
10636638;BAUHOF GROUP AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1703486,26;940643,46;19257700,12;466,00
11021347;MV EESTI, OÜ;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1647480,08;23552,99;2214188,53;12,00
12418897;FRESELLE CUSTOMS AGENCY OÜ;Äriühing;jah;Harju maakond;VEONDUS JA LAONDUS;1464574,35;19346,57;122197,39;10,00
10097532;SMARTEN LOGISTICS, AS;Äriühing;jah;Harju maakond;VEONDUS JA LAONDUS;1040363,79;543702,14;21390092,30;282,00
10535771;TERVE PERE APTEEK OÜ;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1173883,66;1005694,83;24559450,04;522,00
10312960;TALLINNA LINNATRANSPORDI AS;Äriühing;jah;Harju maakond;VEONDUS JA LAONDUS;1951740,82;3297203,84;1523698,82;1784,00
11575850;EVR CARGO, AS;Äriühing;jah;Harju maakond;VEONDUS JA LAONDUS;1193475,64;1269613,33;11877924,95;687,00
